,FullStreetAddress,Appliances,AssessmentYear,Attic,Baths,BathsFull,BathsHalf,Beds,CityName,CloseDate,ClosePrice,ContractDate,CountyTax,DaysOnMarket,Fireplaces,Heating,HOA,HotWater,ImprovementAssessmentAmount,InteriorFeatures,LandAssessmentAmount,Stories,ListDate,ListPrice,ListingLowPrice,ListingType,Longitude,ListingID,OriginalListPrice,Ownership,Parking,ShowDays,StreetName,StreetNumber,Style,ListingTaxID,TotalAssessment,TotalShowings,LivingArea,TotalTaxes,TotalTours,Type,YearBuilt,Zip4,PostalCode
10,2200 WESTMORELAND ST N #420,"Dishwasher, Dryer - Front Loading, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer - Front Loading",2016.0,No,2.0,2,0,2,ARLINGTON,2017-10-09,565000.0,2017-09-27,,42,0,Forced Air,False,Natural Gas,440100.0,Floor Plan-Open,52700.0,1,2017-08-16,565000.0,565000.0,Excl. Right,-77.16265344,AR9010756,574900.0,Condo,Assigned,All Days,WESTMORELAND,2200.0,Contemporary,11-011-118,492800,1,1172,4883.64,2,Mid-Rise 5-8 Floors,2006,1051.0,22213
11,832 GREENBRIER ST S #1,,2015.0,No,1.0,1,0,2,ARLINGTON,2017-03-23,140000.0,2017-02-23,1138.31,407,0,Radiator,True,Natural Gas,91500.0,Flat,24300.0,1,2015-10-20,150000.0,150000.0,Excl. Right,-77.11908000000003,AR9501967,180000.0,Condo,"Assigned, Surface",All Days,GREENBRIER,832.0,Other,22-011-212,115800,0,695,1153.37,1,Garden 1-4 Floors,1948,2712.0,22204
12,2704 BUCHANAN ST N,"Dishwasher, Disposal, Humidifier, Icemaker, Microwave, Oven - Wall, Oven / Range - Gas, Range Hood, Refrigerator, Water Heater",2015.0,Yes,6.5,6,1,7,ARLINGTON,2017-07-21,1999900.0,2016-01-06,6494.68,1,1,Forced Air,False,"Natural Gas, 60 or More Gallon Tank",142000.0,Floor Plan-Open,518700.0,3,2016-01-05,1999900.0,1999900.0,Excl. Right,-77.12957,AR9546034,1999900.0,Fee Simple,"Garage, Drvwy/Off Str",All Days,BUCHANAN,2704.0,Colonial,02-088-046,660700,0,6305,6580.57,0,Detached,2017,2725.0,22207
13,28 S PERSHING DR,"Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven / Range - Gas, Oven - Self Cleaning, Oven - Wall, Range Hood, Refrigerator, Six Burner Stove, Stove, Washer",,Yes,4.0,4,0,5,ARLINGTON,2017-02-17,487500.0,2016-08-01,,413,1,"Forced Air, Heat Pump(s), Zoned",False,"60 or More Gallon Tank, Natural Gas",,,,2,2016-01-18,979000.0,979000.0,Excl. Agency,-77.11089,AR9555136,999000.0,Fee Simple,"Drvwy/Off Str, Garage",All Days,S PERSHING,28.0,Craftsman,23-004-026,0,0,3200,,1,Detached,2016,1356.0,22204
14,1001 VERMONT ST #614,"Dishwasher, Disposal, Microwave, Oven / Range - Electric, Refrigerator, Washer / Dryer - Stacked, Water Heater",2015.0,No,1.0,1,0,2,ARLINGTON,2017-01-30,410000.0,2016-12-21,4141.38,300,0,Heat Pump(s),False,Electric,388700.0,Floor Plan-Traditional,32600.0,1,2016-02-24,419999.0,419999.0,Excl. Agency,-77.11437,AR9578263,435000.0,Condo,Underground,All Days,VERMONT,1001.0,Traditional,14-017-152,421300,0,814,4196.15,1,Hi-Rise 9+ Floors,2005,4766.0,22201
15,6318 31ST ST N,"Dishwasher, Disposal, Exhaust Fan, Icemaker, Microwave, Range Hood, Oven / Range - Gas, Six Burner Stove, Refrigerator, Water Heater - High-Efficiency",2015.0,Yes,4.5,4,1,5,ARLINGTON,2017-08-08,1729000.0,2016-05-10,,69,1,"Forced Air, Wood Burning Stove, Zoned",False,Natural Gas,105200.0,Floor Plan-Open,545000.0,4,2016-03-03,1749000.0,1749000.0,Modified/Excl,-77.155343832,AR9585142,1749000.0,Fee Simple,Garage,All Days,31ST,6318.0,Farm House,01-021-002,650200,0,5500,6475.99,1,Detached,2015,1123.0,22207
16,664 29TH RD S,"Cooktop, Dishwasher, Disposal, Dryer - Front Loading, Dual-Flush Toilet(s), ENERGY STAR Clothes Washer, Extra Refrigerator / Freezer, Oven - Wall, Refrigerator, Exhaust Fan, Washer - Front Loading, Washer / Dryer - Stacked, Oven - Double, Water Heater",2015.0,Yes,3.5,3,1,5,ARLINGTON,2017-02-16,1149000.0,2017-01-11,9551.81,202,1,"Forced Air, Heat Pump(s)",False,"60 or More Gallon Tank, Natural Gas",595800.0,Floor Plan-Open,427500.0,3,2016-03-24,1149900.0,1149900.0,Excl. Right,-77.056091704,AR9605099,1269000.0,Fee Simple,"Drvwy/Off Str, Garage, Paved Driveway, Street, Faces Front",All Days,29TH,664.0,Contemporary,37-027-040,1023300,0,3493,9678.13,1,Detached,1990,2315.0,22202
17,2004 CULPEPER ST N,"Dishwasher, Cooktop, Disposal, Dryer, Dryer - Front Loading, Microwave, Oven - Double, Oven - Wall, Oven / Range - Gas, Refrigerator, Six Burner Stove, Washer, Washer - Front Loading",2015.0,No,6.0,5,2,5,ARLINGTON,2017-01-05,1050000.0,2016-11-16,10517.12,224,3,Forced Air,False,"Electric, Natural Gas",609900.0,,460000.0,4,2016-04-03,1099000.0,1099000.0,Excl. Right,-77.126214286,AR9615310,1199888.0,Fee Simple,Garage,All Days,CULPEPER,2004.0,Arts & Crafts,08-011-032,1069900,1,6550,10656.2,2,Detached,2008,2005.0,22207
18,1309 S. QUINN ST,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Microwave, Instant Hot Water, Oven / Range - Gas, Washer / Dryer - Stacked",,No,3.5,3,1,3,ARLINGTON,2017-02-24,740285.0,2016-06-10,,44,0,ENERGY STAR Heating System,True,"Instant Hot Water, Tankless Water Heater",,Floor Plan-Open,,4,2016-04-06,740285.0,740285.0,Excl. Agency,-77.0739,AR9618603,724900.0,Fee Simple,"Garage, Garage Door Opener, Paved Driveway",All Days,S. QUINN,1309.0,Craftsman,0.00,0,0,2080,,1,Townhouse,2016,,22204
19,2834 SOMERSET ST N,"Dishwasher, Disposal",2017.0,Yes,4.5,4,1,5,ARLINGTON,2017-05-23,1635000.0,2017-04-03,,355,1,Forced Air,False,Natural Gas,770700.0,Floor Plan-Open,688800.0,3,2016-04-13,1649900.0,1649900.0,Excl. Right,-77.15812327100001,AR9625262,1699000.0,Fee Simple,Garage,,SOMERSET,2834.0,Craftsman,01-019-030,1459500,1,5035,7662.38,3,Detached,2016,1219.0,22213
20,2408 1ST RD S,"Central Vacuum, Dishwasher, Disposal, Dryer, Icemaker, Oven - Wall, Range Hood, Refrigerator, Washer, Cooktop",,Yes,4.5,4,1,6,ARLINGTON,2017-02-06,1187000.0,2016-12-29,,261,1,Heat Pump(s),False,Natural Gas,,Floor Plan-Open,,4,2016-04-12,1249888.0,1249888.0,Excl. Right,-77.08514,AR9624755,1349888.0,Fee Simple,Paved Driveway,,1ST,2408.0,Craftsman,24-005-007,0,0,3977,,2,Detached,2016,1823.0,22204
21,4141 HENDERSON RD #814,"Dishwasher, Refrigerator, Oven / Range - Gas",2015.0,No,1.0,1,0,0,ARLINGTON,2017-01-31,244000.0,2016-12-17,2407.37,249,0,Central,False,Natural Gas,223200.0,Efficiency,21700.0,1,2016-04-13,249900.0,249900.0,Excl. Right,-77.10948,AR9625903,249900.0,Condo,On-site Prk/Rent,All Days,HENDERSON,4141.0,Contemporary,20-012-223,244900,0,542,2439.2,1,Hi-Rise 9+ Floors,1973,2467.0,22203
22,4118 27TH RD N,"Dishwasher, Disposal, Dryer, Microwave, Oven - Wall, Oven / Range - Gas, Refrigerator, Washer, Water Heater",2015.0,Yes,3.0,3,0,4,ARLINGTON,2017-02-10,950000.0,2017-01-10,8340.76,229,1,Forced Air,False,Natural Gas,258500.0,Floor Plan-Traditional,590000.0,2,2016-04-16,929000.0,929000.0,Excl. Right,-77.11288,AR9629124,995000.0,Fee Simple,"Drvwy/Off Str, Garage",All Days,27TH,4118.0,Split Foyer,05-001-027,848500,1,2349,8451.06,3,Detached,1965,5116.0,22207
23,412 GARFIELD ST N,"Cooktop, Dishwasher, Disposal, Dryer, Microwave, Icemaker, Exhaust Fan, Refrigerator, Washer, Oven - Self Cleaning, Oven - Double, Oven - Wall",,No,5.0,5,0,7,ARLINGTON,2017-03-31,1735000.0,2017-01-23,,262,1,Forced Air,False,Natural Gas,,,,3,2016-05-06,1888000.0,1888000.0,Excl. Right,-77.09321,AR9631923,2000000.0,Fee Simple,Garage,,GARFIELD,412.0,Colonial,18-049-013,0,0,5750,,2,Detached,2005,1610.0,22201
24,1319 S. QUINN,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Microwave, Instant Hot Water, Oven / Range - Gas",,No,3.5,3,1,3,ARLINGTON,2017-02-27,877015.0,2016-05-19,,11,0,ENERGY STAR Heating System,True,"Instant Hot Water, Tankless Water Heater",,Floor Plan-Open,,4,2016-04-21,829900.0,829900.0,Excl. Agency,-77.07259,AR9634927,819900.0,Fee Simple,"Garage, Garage Door Opener, Paved Driveway",All Days,S. QUINN,1319.0,Craftsman,0.00,0,0,2580,,1,Townhouse,2016,,22204
25,900 TAYLOR ST #1527,"Dishwasher, Disposal, Dryer, Dryer - Front Loading, Exhaust Fan, Microwave, Refrigerator, Stove, Washer",2015.0,No,2.0,2,0,2,ARLINGTON,2017-04-28,195000.0,2017-04-10,1311.32,350,0,Central,False,Electric,95000.0,Floor Plan-Open,38400.0,1,2016-04-26,240000.0,240000.0,Excl. Right,-77.112836183,AR9639067,270000.0,Condo,Parking Fee,,TAYLOR,900.0,Traditional,14-051-227,133400,0,960,1328.66,2,Hi-Rise 9+ Floors,1992,1890.0,22203
26,1715 13TH ROAD S.,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Microwave, Instant Hot Water, Oven / Range - Gas",,No,4.0,3,2,3,ARLINGTON,2017-03-28,835970.0,2016-05-25,,19,0,ENERGY STAR Heating System,True,"Instant Hot Water, Tankless Water Heater",,Floor Plan-Open,,4,2016-05-03,809900.0,809900.0,Excl. Agency,-77.07329,AR9646368,809900.0,Fee Simple,"Garage, Garage Door Opener, Paved Driveway",All Days,13TH ROAD S.,1715.0,Craftsman,0.00,0,0,2580,,1,Townhouse,2016,,22204
27,4366 PERSHING DR #43662,"Dishwasher, Disposal, Microwave, Refrigerator, Oven / Range - Gas",2015.0,No,1.0,1,0,2,ARLINGTON,2017-02-17,260000.0,2017-01-29,2588.24,263,0,Radiator,False,Natural Gas,210900.0,Floor Plan-Traditional,52400.0,1,2016-05-11,274900.0,274900.0,Excl. Right,-77.108866364,AR9654407,315000.0,Condo,"Permit Required, Unassigned, Surface",,PERSHING,4366.0,Colonial,20-026-360,263300,0,936,2622.47,1,Garden 1-4 Floors,1940,,22203
28,2907 KENSINGTON ST N,"Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven - Double, Oven - Wall, Oven / Range - Gas, Range Hood, Refrigerator, Six Burner Stove, Stove, Washer",,Yes,7.0,6,2,7,ARLINGTON,2017-03-31,2186500.0,2017-02-04,,263,2,Forced Air,False,Natural Gas,,,,4,2016-05-18,2295000.0,2295000.0,Excl. Right,-77.14562,AR9661083,2295000.0,Fee Simple,Garage,All Days,KENSINGTON,2907.0,A-Frame,000000,0,0,7078,,1,Detached,2016,,22207
29,900 TAYLOR ST #1420,,2015.0,No,2.0,2,0,2,ARLINGTON,2017-02-28,249000.0,2016-12-22,1586.56,172,0,Central,False,Electric,122200.0,Floor Plan-Open,39200.0,1,2016-06-02,249999.0,249999.0,Excl. Right,-77.112643064,AR9675673,275000.0,Condo,Parking Fee,,TAYLOR,900.0,Traditional,14-051-201,161400,0,981,1607.54,1,Hi-Rise 9+ Floors,1992,1873.0,22203
30,2804 16TH ST S,"Cooktop, Dishwasher, Disposal, Freezer, Icemaker, Microwave, Oven - Double, Oven - Self Cleaning, Range Hood, Refrigerator, Stove, Water Dispenser, Water Heater",2017.0,No,4.5,4,1,5,ARLINGTON,2017-05-09,1100000.0,2017-04-07,,311,1,"Central, Forced Air, Programmable Thermostat, Hot Water, ENERGY STAR Heating System",False,Electric,865300.0,,405000.0,3,2016-06-02,1199900.0,1199900.0,Excl. Right,-77.08476999999998,AR9675667,1300000.0,Fee Simple,"Garage, Paved Driveway, Attached, Asphalt Driveway",All Days,16TH,2804.0,Craftsman,32-001-014,1270300,1,4203,,1,Detached,2016,4910.0,22204
31,1713 13TH ROAD S.,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Microwave, Instant Hot Water, Oven / Range - Gas",,No,4.0,3,2,3,ARLINGTON,2017-04-21,847515.0,2016-09-02,,83,0,ENERGY STAR Heating System,True,"Instant Hot Water, Tankless Water Heater",,Floor Plan-Open,,4,2016-05-26,809900.0,809900.0,Excl. Agency,-77.07323000000002,AR9669032,809900.0,Fee Simple,Garage,All Days,13TH ROAD S.,1713.0,Craftsman,0.00,0,0,2580,,1,Townhouse,2017,,22204
32,900 TAYLOR ST #1710,,2015.0,No,1.0,1,0,1,ARLINGTON,2017-01-27,95000.0,2017-01-16,720.54,74,0,Central,False,Electric,45900.0,Floor Plan-Open,27400.0,1,2016-05-27,115000.0,115000.0,Excl. Right,-77.112584056,AR9670393,115000.0,Condo,"Assigned, Parking Fee, Underground","Friday, Saturday, Thursday, Wednesday, Tuesday",TAYLOR,900.0,Traditional,14-051-256,73300,0,686,730.07,1,Hi-Rise 9+ Floors,1992,1876.0,22203
33,1711 N NELSON ST,"ENERGY STAR Dishwasher, ENERGY STAR Freezer, ENERGY STAR Refrigerator",2015.0,No,5.5,5,1,6,ARLINGTON,2017-06-08,1639418.0,2016-09-01,7664.45,0,2,Programmable Thermostat,False,Tankless Water Heater,244400.0,,535300.0,3,2016-06-07,1569000.0,1569000.0,Excl. Agency,-77.10495,AR9680134,1569000.0,Fee Simple,Garage,,N NELSON,1711.0,Craftsman,06-029-006,779700,0,0,7765.81,1,Detached,2016,3626.0,22207
34,3866 TAZEWELL ST N,"Dishwasher, Disposal, Dryer, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer, Water Heater",2016.0,Yes,3.0,3,0,3,ARLINGTON,2017-01-31,875000.0,2016-07-10,9258.88,35,2,Forced Air,False,Natural Gas,334300.0,,600000.0,2,2016-06-06,925000.0,925000.0,Excl. Right,-77.1305,AR9678319,995000.0,Fee Simple,"Drvwy/Off Str, Basement Garage",,TAZEWELL,3866.0,Raised Rambler,03-067-051,934300,0,3848,9258.88,1,Detached,1965,4533.0,22207
35,5719 8TH ST N,"Dishwasher, Disposal, Dryer, Microwave, Refrigerator, Washer, Oven - Double, Stove",2015.0,No,3.0,3,0,4,ARLINGTON,2017-05-12,1000000.0,2017-04-23,8526.54,317,0,Forced Air,False,Natural Gas,382400.0,Floor Plan-Open,485000.0,4,2016-06-10,999999.0,999999.0,Excl. Right,-77.1311,AR9683681,1100000.0,Fee Simple,Brick Driveway,,8TH,5719.0,Craftsman,13-041-059,867400,1,4500,8639.3,1,Detached,1930,1021.0,22205
36,4501 ARLINGTON BLVD #219,"Dishwasher, Icemaker, Refrigerator, Oven / Range - Gas, Disposal, Microwave",2015.0,No,2.0,2,0,2,ARLINGTON,2017-03-24,240000.0,2017-02-12,2653.12,217,0,Forced Air,False,Electric,231800.0,Floor Plan-Open,38100.0,1,2016-06-17,249900.0,249900.0,Excl. Right,-77.10876,AR9690594,265000.0,Condo,Garage,,ARLINGTON,4501.0,Contemporary,20-026-057,269900,1,1089,2688.2,1,Hi-Rise 9+ Floors,1965,2767.0,22203
37,2220 FAIRFAX DR #302,"Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Oven / Range - Gas, Refrigerator, Washer, Washer / Dryer - Stacked",2015.0,No,1.0,1,0,1,ARLINGTON,2017-04-14,378000.0,2017-02-14,3701.0,242,0,Forced Air,False,Natural Gas,348300.0,Floor Plan-Traditional,28200.0,1,2016-06-17,385000.0,385000.0,Excl. Right,-77.08515478,AR9690296,405000.0,Condo,"Garage, Assigned",All Days,FAIRFAX,2220.0,Traditional,18-084-039,376500,1,704,3749.94,1,Hi-Rise 9+ Floors,2007,6628.0,22201
38,2200 WESTMORELAND ST #215,"Dishwasher, Disposal, Exhaust Fan, Microwave, Refrigerator, Oven / Range - Gas, Washer / Dryer - Stacked, Water Heater",2015.0,No,1.0,1,0,1,ARLINGTON,2017-01-03,380000.0,2016-11-22,,155,0,Forced Air,False,Natural Gas,332200.0,Floor Plan-Open,38500.0,1,2016-06-20,380000.0,380000.0,Excl. Right,-77.16275,AR9692560,398000.0,Condo,"Covered Parking, Garage, Assigned, Prk Space Cnvys, Garage Door Opener",All Days,WESTMORELAND,2200.0,Contemporary,11-011-049,370700,0,855,3692.17,1,Mid-Rise 5-8 Floors,2006,1046.0,22213
39,1600 OAK ST #225,"Disposal, Dishwasher, Icemaker, Microwave, Oven / Range - Electric, Washer / Dryer - Stacked, Refrigerator",2015.0,No,2.0,2,0,2,ARLINGTON,2017-06-15,500000.0,2017-05-04,5406.5,303,0,Heat Pump(s),True,Natural Gas,506600.0,Floor Plan-Open,43400.0,1,2016-06-21,500000.0,500000.0,Excl. Right,-77.07378,AR9693358,529000.0,Condo,Garage,All Days,OAK,1600.0,Contemporary,17-003-318,550000,0,1205,5478.0,2,Hi-Rise 9+ Floors,1987,2761.0,22209
40,2245 JOHN MARSHALL DR,"Dishwasher, Disposal, ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Exhaust Fan, Humidifier, Icemaker, Microwave, Oven - Double, Oven - Self Cleaning, Oven / Range - Gas, Range Hood, Refrigerator, Six Burner Stove, Water Heater, Water Heater - High-Efficiency",,Yes,5.5,5,1,5,ARLINGTON,2017-01-13,1531850.0,2016-12-14,,175,1,"ENERGY STAR Heating System, Heat Pump(s), Central, Zoned",False,"Natural Gas, 60 or More Gallon Tank",,Floor Plan-Open,,3,2016-06-22,1599900.0,1599900.0,Excl. Agency,-77.148077727,AR9694397,1599900.0,Fee Simple,"Paved Driveway, Attached, Garage Door Opener",All Days,JOHN MARSHALL,2245.0,Craftsman,11-001-218,0,0,6236,,1,Detached,2016,,22205
41,6050 23RD ST,"Dishwasher, Disposal, ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Exhaust Fan, Humidifier, Icemaker, Microwave, Oven - Double, Oven / Range - Gas, Range Hood, Refrigerator, Six Burner Stove, Water Heater - High-Efficiency",2015.0,Yes,5.5,5,1,5,ARLINGTON,2017-07-14,1507500.0,2017-06-27,5105.7,349,1,"Central, ENERGY STAR Heating System, Programmable Thermostat, Zoned",False,60 or More Gallon Tank,0.0,Floor Plan-Open,519400.0,3,2016-06-22,1549000.0,1549000.0,Excl. Agency,-77.147954681,AR9694514,1599900.0,Fee Simple,"Paved Driveway, Attached, Garage Door Opener",All Days,23RD,6050.0,Craftsman,11-001-217,519400,1,5892,5173.22,1,Detached,2016,,22205
42,6615 19TH ST N,"Dishwasher, Disposal, ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Exhaust Fan, Humidifier, Microwave, Oven - Double, Oven - Self Cleaning, Oven / Range - Gas, Range Hood, Refrigerator, Six Burner Stove, Water Heater - High-Efficiency",2015.0,Yes,5.0,5,0,5,ARLINGTON,2017-02-27,1530000.0,2016-12-24,5222.68,185,1,"ENERGY STAR Heating System, Central, Forced Air, Programmable Thermostat, Zoned",False,"60 or More Gallon Tank, Natural Gas",65800.0,,465500.0,3,2016-06-22,1599900.0,1599900.0,Excl. Agency,-77.15771,AR9694634,1599900.0,Fee Simple,"Garage, Attached, Garage Door Opener",All Days,19TH,6615.0,Craftsman,11-021-006,531300,0,5000,5291.75,1,Detached,2016,1804.0,22205
43,6529 29TH ST N,"Dishwasher, Disposal, ENERGY STAR Dishwasher, ENERGY STAR Freezer, ENERGY STAR Refrigerator, Exhaust Fan, Humidifier, Icemaker, Microwave, Oven - Double, Oven - Self Cleaning, Oven / Range - Gas, Range Hood, Refrigerator, Six Burner Stove, Water Heater - High-Efficiency",2015.0,Yes,6.5,6,1,5,ARLINGTON,2017-03-17,1647000.0,2017-01-14,6487.8,206,1,"Central, ENERGY STAR Heating System, Forced Air, Zoned",False,Natural Gas,115000.0,,545000.0,3,2016-06-22,1699999.0,1699999.0,Excl. Agency,-77.1585,AR9694822,1739000.0,Fee Simple,"Paved Driveway, Garage",,29TH,6529.0,Craftsman,01-019-013,660000,0,6017,6573.6,1,Detached,2016,1338.0,22213
44,824 DANVILLE ST,"Dishwasher, Disposal, Exhaust Fan, Microwave, Oven / Range - Gas, Range Hood, Refrigerator",,Yes,5.5,5,1,5,ARLINGTON,2017-02-16,1775000.0,2017-01-07,,154,1,"Programmable Thermostat, Zoned, Forced Air",False,"60 or More Gallon Tank, Natural Gas",,"Floor Plan-Open, Floor Plan-Traditional, Loft",,4,2016-06-28,1899000.0,1899000.0,Excl. Right,-77.08999,AR9695369,1999999.0,Fee Simple,"Brick Driveway, Garage Door Opener, Garage",All Days,DANVILLE,824.0,Farm House,18-041-014,0,1,5340,,1,Detached,2016,1920.0,22201
