,FullStreetAddress,Amenities,Appliances,AssessmentYear,Attic,Baths,BathsFull,BathsHalf,Beds,CityName,CloseDate,ClosePrice,ContractDate,County,CountyTax,CountyTaxPaymentFreq,DaysOnMarket,DomProperty,Fireplaces,Foreclosure,Heating,HOA,HotWater,ImprovementAssessmentAmount,ImprovementAssessmentPaymentFreq,InteriorFeatures,LandAssessmentAmount,LandAssessmentPaymentFreq,Stories,ListDate,ListPrice,ListingLowPrice,ListingType,Longitude,ListingID,OriginalListPrice,Ownership,Parking,PropertyType,Remarks,ShowDays,StreetName,StreetNumber,Style,ListingTaxID,TotalAssessment,TotalOpenHouses,TotalShowings,LivingArea,TotalTaxes,TotalTours,Type,YearBuilt,Zip4,PostalCode
10,2200 WESTMORELAND ST N #420,"Attached Master Bathroom, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Granite, Drapes / Curtains, Drapery Rods, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Vanities - Separate, Wall to Wall Carpeting","Dishwasher, Dryer - Front Loading, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer - Front Loading",2016.0,No,2,2,0,2,ARLINGTON,2017-10-09,565000.0,2017-09-27,ARLINGTON,,,42,42,0,False,Forced Air,False,Natural Gas,440100.0,Annually,Floor Plan-Open,52700.0,Annually,1,2017-08-16,565000.0,565000.0,Excl. Right,-77.16265344,AR9010756,574900.0,Condo,Assigned,Residential,"Spectacular 2 BR & DEN /2 BA in sought after WestLee Community! Contemporary open floor plan, courtyard views, 9 ft ceilings, W/D in unit, gourmet kitchen w/SS appliances and granite. Hardwood floors in LR/DR/kitchen/den/2nd br. MBR w/2 custom closets incl. large WIC. Great amenities incl. fitness center, party room & concierge desk. Blocks from the EFC Metro, shops, C&O Trail, State Theater !",All Days,WESTMORELAND,2200.0,Contemporary,11-011-118,492800,0,1,1172,4883.64,2,Mid-Rise 5-8 Floors,2006,1051.0,22213
11,832 GREENBRIER ST S #1,,,2015.0,No,1,1,0,2,ARLINGTON,2017-03-23,140000.0,2017-02-23,ARLINGTON,1138.31,Annually,407,407,0,False,Radiator,True,Natural Gas,91500.0,Annually,Flat,24300.0,Annually,1,2015-10-20,150000.0,150000.0,Excl. Right,-77.11908000000001,AR9501967,180000.0,Condo,"Assigned, Surface",Residential,"Price reduced for quick sell.Contract failed due to financial difficulties..Amazing location in Arlington! As is condition.  Condo Fee includes ALL UTILITIES! Walk to Metro bus, close  to Pentagon/DC/Shopping/Dining/Schools, Park Trails! 1 assign parking . Laundry and storage separate in the basement. Seller offer 3% Closing help.Combo 2005.",All Days,GREENBRIER,832.0,Other,22-011-212,115800,0,0,695,1153.37,1,Garden 1-4 Floors,1948,2712.0,22204
12,2704 BUCHANAN ST N,"Attached Master Bathroom, Attic - Stairs Pull Down, Automatic Garage Door Opener, Bathroom(s) - Ceramic Tile, Bedroom - Entry Level, Built-in Bookcases, Chair Railing, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Granite, Crown Molding, Fireplace Gas Insert, Fireplace Mantel(s), High Efficiency Toilet(s), Home Warranty, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Sump Pump, Vanities - Double, Wainscoting, Wall to Wall Carpeting, Washer / Dryer Hookup, Wet Bar / Bar, Wood Floors","Dishwasher, Disposal, Humidifier, Icemaker, Microwave, Oven - Wall, Oven / Range - Gas, Range Hood, Refrigerator, Water Heater",2015.0,Yes,7,6,1,7,ARLINGTON,2017-07-21,1999900.0,2016-01-06,ARLINGTON,6494.68,Annually,1,1,1,False,Forced Air,False,"Natural Gas, 60 or More Gallon Tank",142000.0,Annually,Floor Plan-Open,518700.0,Annually,3,2016-01-05,1999900.0,1999900.0,Excl. Right,-77.12957,AR9546034,1999900.0,Fee Simple,"Garage, Drvwy/Off Str",Residential,"Fabulous new design by Arlington's premier builder, Tradition Homes in private cul de sac neighborhood of new homes.  The Linden: 1st floor bedroom and full bath, 5 BR on 2nd, 3 car garage with finished au pair suite over, large, flat, and private rear yard.  Wolf Cooking in designer kitchen and amenities too numerous to mention. Now is the time to make your personal design selections and choices.",All Days,BUCHANAN,2704.0,Colonial,02-088-046,660700,0,0,6305,6580.57,0,Detached,2017,2725.0,22207
13,28 S PERSHING DR,"Attic - Stairs Pull Down, Automatic Garage Door Opener, Bathroom(s) - Dual Entry, Bedroom - Entry Level, Countertop(s) - Granite, Closet - Master Bedroom Walk-in, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Master Bedroom(s) - Multiple, Tub - Soaking, Wall to Wall Carpeting, Closet(s) - Walk-in, Washer / Dryer Hookup, Wood Floors","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven / Range - Gas, Oven - Self Cleaning, Oven - Wall, Range Hood, Refrigerator, Six Burner Stove, Stove, Washer",,Yes,4,4,0,5,ARLINGTON,2017-02-17,487500.0,2016-08-01,ARLINGTON,,,413,632,1,False,"Forced Air, Heat Pump(s), Zoned",False,"60 or More Gallon Tank, Natural Gas",,,,,,2,2016-01-18,979000.0,979000.0,Excl. Agency,-77.11089,AR9555136,999000.0,Fee Simple,"Drvwy/Off Str, Garage",Residential,"This is an MLS Placement Limited Service Listing. Please deal with owner(s) directly at 7032981156 or (703) 780-1676 with showings, inquiries, offers and everything else till closing. Email listing agent once contract is ratified so status can be updated.",All Days,S PERSHING,28.0,Craftsman,23-004-026,0,0,0,3200,,1,Detached,2016,1356.0,22204
14,1001 VERMONT ST #614,,"Dishwasher, Disposal, Microwave, Oven / Range - Electric, Refrigerator, Washer / Dryer - Stacked, Water Heater",2015.0,No,1,1,0,2,ARLINGTON,2017-01-30,410000.0,2016-12-21,ARLINGTON,4141.38,Annually,300,300,0,False,Heat Pump(s),False,Electric,388700.0,Annually,Floor Plan-Traditional,32600.0,Annually,1,2016-02-24,419999.0,419999.0,Excl. Agency,-77.11437,AR9578263,435000.0,Condo,Underground,Residential,"LUXURY 2 BR condo in the heart of Ballston!  Features incl: 2 bedrooms & full bath, enclosed sunroom, gourmet kitchen w/ ss appliances + granite countertops, pantry, new carpet, freshly painted, in-unit washer/ dryer and more. 1 garage space.  Secure building. Amenities: rooftop pool, fitness center + concierge. 1 block to Ballston Metro. Fantastic location!",All Days,VERMONT,1001.0,Traditional,14-017-152,421300,0,0,814,4196.15,1,Hi-Rise 9+ Floors,2005,4766.0,22201
15,6318 31ST ST N,"Attic - Finished, Automatic Garage Door Opener, Closet(s) - Walk-in, Countertop(s) - Granite, Crown Molding, Home Warranty, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Vanities - Double, Wall to Wall Carpeting, Washer / Dryer Hookup, Wood Floors, Closet - Master Bedroom Walk-in","Dishwasher, Disposal, Exhaust Fan, Icemaker, Microwave, Range Hood, Oven / Range - Gas, Six Burner Stove, Refrigerator, Water Heater - High-Efficiency",2015.0,Yes,5,4,1,5,ARLINGTON,2017-08-08,1729000.0,2016-05-10,ARLINGTON,,,69,145,1,False,"Forced Air, Wood Burning Stove, Zoned",False,Natural Gas,105200.0,Annually,Floor Plan-Open,545000.0,Annually,4,2016-03-03,1749000.0,1749000.0,Modified/Excl,-77.155343832,AR9585142,1749000.0,Fee Simple,Garage,Residential,"Looking for new construction but tired of the same old?  Introducing spectacular open living spaces while preserving the architectural integrity of an era gone by! This 5 BR, 4 1/2 BA Farmhouse has it all: a Chef quality stone and stainless kitchen opening to a sun filled FR, a MBR suite w/balcony, a 4th lvl loft getaway w/  BR and BA plus LL lvl  rec rm, media ctr, & au pair suite!",All Days,31ST,6318.0,Farm House,01-021-002,650200,0,0,5500,6475.99,1,Detached,2015,1123.0,22207
16,664 29TH RD S,"Attic - Access Only, Automatic Garage Door Opener, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Drapes / Curtains, Drapery Rods, Fireplace Gas Insert, Fireplace Glass Doors, High Efficiency Toilet(s), Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Shades / Blinds, Vanities - Double, Bathroom(s) - Ceramic Tile, Stair - Curved, Tub - Soaking, Wood Floors, Water Closet(s)","Cooktop, Dishwasher, Disposal, Dryer - Front Loading, Dual-Flush Toilet(s), ENERGY STAR Clothes Washer, Extra Refrigerator / Freezer, Oven - Wall, Refrigerator, Exhaust Fan, Washer - Front Loading, Washer / Dryer - Stacked, Oven - Double, Water Heater",2015.0,Yes,4,3,1,5,ARLINGTON,2017-02-16,1149000.0,2017-01-11,ARLINGTON,9551.81,Annually,202,202,1,False,"Forced Air, Heat Pump(s)",False,"60 or More Gallon Tank, Natural Gas",595800.0,Annually,Floor Plan-Open,427500.0,Annually,3,2016-03-24,1149900.0,1149900.0,Excl. Right,-77.056091704,AR9605099,1269000.0,Fee Simple,"Drvwy/Off Str, Garage, Paved Driveway, Street, Faces Front",Residential,"MASSIVE PRICE DROP ~ This hard-to-find Arlington Contemporary fuses Frank Lloyd Wright's open stairway plan w/ Picasso's Cubism, creating both a work of art & a luxurious residence in sought after Aurora Highlands. 3500 sq/ft of modern bliss on 3 finished levels w/ clean lines & stunning upgrades. Walls of glass & 2 decks offer panoramic views. Close to metro, 2 parks ,DCA, DC & Old Town",All Days,29TH,664.0,Contemporary,37-027-040,1023300,0,0,3493,9678.13,1,Detached,1990,2315.0,22202
17,2004 CULPEPER ST N,"Automatic Garage Door Opener, Bathroom(s) - Ceramic Tile, Bedroom - Entry Level, Built-in Bookcases, Chair Railing, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Granite, Crown Molding, Drapery Rods, Drapes / Curtains, Fireplace Gas Insert, Fireplace Glass Doors, Fireplace Mantel(s), Fireplace Screen, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Master Bedroom(s) - Multiple, Shades / Blinds, Sump Pump, Tub - 2 or More Person, Tub - Soaking, Vanities - Double, Vanities - Separate, Wall to Wall Carpeting, Washer / Dryer Hookup, Water Closet(s), Wet Bar / Bar, Wood Floors","Dishwasher, Cooktop, Disposal, Dryer, Dryer - Front Loading, Microwave, Oven - Double, Oven - Wall, Oven / Range - Gas, Refrigerator, Six Burner Stove, Washer, Washer - Front Loading",2015.0,No,7,5,2,5,ARLINGTON,2017-01-05,1050000.0,2016-11-16,ARLINGTON,10517.12,Annually,224,224,3,False,Forced Air,False,"Electric, Natural Gas",609900.0,Annually,,460000.0,Annually,4,2016-04-03,1099000.0,1099000.0,Excl. Right,-77.126214286,AR9615310,1199888.0,Fee Simple,Garage,Residential,"***OWNER SAYS SELL***BRING ALL OFFERS***1 Mile to Ballston, 10 minutes to DC. Close to major roads. 4 finished lvls of luxury living. Main lvl offers a Great room w/corner frplc, gourmet island kitchen & elegant dining. Up one to master suite w/grand BA, FR w/frplc & lib. Up again to 4 BR all w/cathedral ceilings",All Days,CULPEPER,2004.0,Arts & Crafts,08-011-032,1069900,0,1,6550,10656.2,2,Detached,2008,2005.0,22207
18,1309 S. QUINN ST,,"ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Microwave, Instant Hot Water, Oven / Range - Gas, Washer / Dryer - Stacked",,No,4,3,1,3,ARLINGTON,2017-02-24,740285.0,2016-06-10,ARLINGTON,,,44,44,0,False,ENERGY STAR Heating System,True,"Instant Hot Water, Tankless Water Heater",,,Floor Plan-Open,,,4,2016-04-06,740285.0,740285.0,Excl. Agency,-77.0739,AR9618603,724900.0,Fee Simple,"Garage, Garage Door Opener, Paved Driveway",Residential,"Introducing Carver Place, an exciting new construction Townhome community brought to you by Craftmark Homes. Site work is now underway w/deliveries scheduled for Fall 16.  Showings are by appointment only.  Model to be completed September 2016.  The opportunity to customize home is currently available.  Call for additional details.",All Days,S. QUINN,1309.0,Craftsman,0.00,0,0,0,2080,,1,Townhouse,2016,,22204
19,2834 SOMERSET ST N,"Attached Master Bathroom, Attic - Stairs Pull Down, Built-in Bookcases, Automatic Garage Door Opener, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Granite, Crown Molding, Fireplace Gas Insert, Fireplace Mantel(s), Master Bedroom - Full Bathroom, Sump Pump, Wainscoting, Vanities - Separate, Vanities - Double, Wall to Wall Carpeting, Wood Floors, Tub - Soaking","Dishwasher, Disposal",2017.0,Yes,5,4,1,5,ARLINGTON,2017-05-23,1635000.0,2017-04-03,ARLINGTON,,,355,355,1,False,Forced Air,False,Natural Gas,770700.0,Annually,Floor Plan-Open,688800.0,Annually,3,2016-04-13,1649900.0,1649900.0,Excl. Right,-77.15812327100001,AR9625262,1699000.0,Fee Simple,Garage,Residential,"Move in ready! Modern Craftsman on 1/3 acre at Minor Hill! Remarkable privacy, cul-de-sac setting w pano-views + picture windows throughout! Graciously appointed w 10' ceilings! Master suite w/ his&her walk-ins, 72"" free standing tub! Gourmet Kitchen Thermador Stainless Package, Spacious brkfst room off Kit, Custom tiled baths, Bedroom level laundry, ~",,SOMERSET,2834.0,Craftsman,01-019-030,1459500,0,1,5035,7662.38,3,Detached,2016,1219.0,22213
20,2408 1ST RD S,"Closet(s) - Walk-in, Countertop(s) - Granite, Fireplace Gas Insert, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Sump Pump, Wood Floors","Central Vacuum, Dishwasher, Disposal, Dryer, Icemaker, Oven - Wall, Range Hood, Refrigerator, Washer, Cooktop",,Yes,5,4,1,6,ARLINGTON,2017-02-06,1187000.0,2016-12-29,ARLINGTON,,,261,261,1,False,Heat Pump(s),False,Natural Gas,,,Floor Plan-Open,,,4,2016-04-12,1249888.0,1249888.0,Excl. Right,-77.08514,AR9624755,1349888.0,Fee Simple,Paved Driveway,Residential,"Ultra Luxurious custom home in the heart of Arlington. Elegant design, superior workmanship and attention to detail in all stages of construction of this gorgeous home. Designer Kitchen will bring the Chef in you to life. Exotic Granite Tops, High End Cabinetry-GALA(Great American Living Awards)-Award Winning Custom Home-Designed by James McDonalds & Associates-",,1ST,2408.0,Craftsman,24-005-007,0,0,0,3977,,2,Detached,2016,1823.0,22204
21,4141 HENDERSON RD #814,"Closet(s) - Walk-in, Countertop(s) - Granite, Drapes / Curtains, Elevator","Dishwasher, Refrigerator, Oven / Range - Gas",2015.0,No,1,1,0,0,ARLINGTON,2017-01-31,244000.0,2016-12-17,ARLINGTON,2407.37,Annually,249,249,0,False,Central,False,Natural Gas,223200.0,Annually,Efficiency,21700.0,Annually,1,2016-04-13,249900.0,249900.0,Excl. Right,-77.10948,AR9625903,249900.0,Condo,On-site Prk/Rent,Residential,"Enjoy Beautiful Sunset from your balcony,Or walk to Ballston Metro,Harris Teeter around the corner. What a GREAT location Very desirable,Pet Friendly, Hyde Park Studio. New SS, Appliances, Granite in bath & ketch, Hardwood floors, walk-in closet. Very clean upscale bldg. Condo shows like new, Condo fee includes all utilities. Pool, 24hr concierge,seller will pay 5yrs,parking with full price offer",All Days,HENDERSON,4141.0,Contemporary,20-012-223,244900,0,0,542,2439.2,1,Hi-Rise 9+ Floors,1973,2467.0,22203
